mida,tar,zip,type
188742,188434,188460,jpg
718991,633845,633853,pdf
135658,135160,135207,jpg
512017,511493,511502,jpg
29696,4679,4716,doc
1371648,1115592,1115651,ppt
711168,184999,184997,xls
133915,133875,133866,jpg
145725,125265,125292,pdf
515941,516171,516182,png
1349700,995181,995272,pdf
673267,604274,604360,pdf
292444,292692,292661,png
196183,195718,195739,jpg
203776,71442,71465,doc
587436,587743,587720,png
222546,215887,215932,png
111364,111483,111499,jpg
118784,30788,30831,xls
67584,25543,25626,doc
1033414,1031779,1031790,jpg
1388544,955787,955885,ppt
1147349,1146198,1146191,jpg
133632,47490,47534,doc
334137,332688,332721,jpg
119808,79329,79455,doc
89600,18667,18729,xls
186013,185922,185903,jpg
1739855,1440823,1440735,pdf
107008,29161,29220,doc
94720,33634,33701,xls
28672,4096,4179,doc
62015,5023,5075,xls
242176,200110,200245,doc
2080256,1339411,1339493,ppt
351442,346651,346683,png
82944,37700,37732,ppt
505435,503949,503959,png
21504,3157,3228,doc
79872,17690,17758,xls
166213,162651,162687,png
44544,12343,12438,xls
498176,325906,325971,ppt
746022,737734,737748,jpg
175329,175416,175496,jpg
123904,51514,51534,doc
2723867,2348031,2348061,pdf
2272976,2273200,2273218,png
84480,56812,56890,doc
833024,605216,605234,ppt
857449,854789,854827,jpg
287744,85162,85184,xls
162816,90448,90472,doc
382464,37961,37992,xls
92160,30963,30979,xls
42669,28750,28761,xls
658470,631431,631467,pdf
92672,14000,14059,ppt
142848,56030,56042,xls
1175947,1176321,1176293,png
2180608,2002620,2002628,ppt
124928,35104,35178,doc
195176,194439,194438,jpg
104659,102049,102077,jpg
1532928,1100816,1100825,ppt
920678,869745,869790,pdf
513665,496314,496323,pdf
63488,13507,13564,doc
587023,587240,587256,jpg
412575,412357,412374,png
77824,24168,24300,doc
57856,23349,23434,xls
1550990,1443944,1443980,pdf
2101546,2099633,2099647,jpg
290304,134843,134909,xls
75264,13445,13536,doc
1222520,1129921,1129951,pdf
960661,815986,816050,pdf
400384,311881,311892,xls
29184,9880,10003,xls
237849,236563,236575,jpg
768552,764314,764328,jpg
187148,186568,186591,jpg
689664,157159,157224,xls
75264,22911,22890,xls
753152,250617,250639,ppt
143607,114200,114239,pdf
379904,198573,198687,ppt
504469,253420,253471,pdf
1904659,1905081,1905047,png
375458,375210,375259,png
126976,41898,41946,ppt
160768,39762,39834,doc
706048,556314,556345,ppt
2057763,1786669,1786688,pdf
2650110,2650696,2650683,png
95232,8646,8721,xls
187534,151308,151311,pdf
1566720,1082668,1082681,ppt
432864,432990,432983,jpg
434828,430326,430368,png
185856,100251,100282,doc
209928,209125,209223,jpg
921059,637850,637928,pdf
477184,168394,168461,ppt
1784865,1603033,1603077,pdf
1035264,768874,768910,ppt
478899,478753,478804,jpg
904488,901199,901231,png
680722,678397,678441,png
1928152,1681763,1681811,pdf
1254400,752187,752231,ppt
126198,111521,111541,pdf
92672,51358,51449,xls
38401,10061,10152,xls
1299456,407279,407272,ppt
206536,149914,149933,pdf
81408,25223,25259,xls
438378,405791,405851,pdf
74752,24624,24711,doc
